power_output_kw,hour,day_of_week,duration_mins
60.0,10,5,51.0
30.0,6,5,79.0
11.0,13,5,225.0
120.0,14,5,15.0
50.0,4,5,15.0
22.0,9,5,15.0
60.0,6,5,30.0
30.0,2,5,60.0
50.0,22,4,20.0
60.0,6,5,28.0
60.0,13,5,15.0
22.0,4,5,112.0
150.0,8,5,15.0
22.0,4,5,15.0
30.0,8,5,89.0
11.0,21,4,184.0
50.0,10,5,48.0
50.0,4,5,38.0
30.0,11,5,15.0
150.0,16,5,22.0
50.0,13,5,25.0
50.0,7,5,15.0
15.0,6,5,104.0
50.0,4,5,15.0
60.0,5,5,34.0
120.0,23,4,15.0
150.0,11,5,15.0
7.2,13,6,16.0
7.2,7,6,16.0
50.0,22,5,47.0
22.0,11,6,15.0
50.0,3,6,53.0
65.0,9,6,15.0
50.0,0,6,38.0
22.0,13,6,15.0
30.0,1,6,79.0
50.0,18,5,15.0
7.2,2,6,18.0
7.2,4,6,17.0
15.0,6,6,80.0
50.0,16,6,36.0
30.0,22,5,65.0
50.0,14,6,28.0
50.0,2,6,15.0
22.0,2,6,15.0
22.0,9,6,68.0
30.0,23,5,15.0
22.0,22,5,15.0
15.0,4,6,15.0
120.0,12,6,15.0
50.0,19,5,19.0
11.0,9,6,87.0
50.0,12,6,15.0
7.2,4,6,16.0
50.0,6,6,15.0
11.0,14,6,208.0
50.0,20,5,15.0
15.0,15,6,164.0
150.0,5,6,15.0
7.2,6,6,360.0
30.0,5,6,15.0
150.0,5,6,15.0
50.0,14,6,15.0
15.0,12,6,65.0
30.0,9,6,79.0
7.2,6,6,350.0
50.0,4,6,15.0
50.0,6,6,44.0
30.0,5,6,15.0
150.0,20,5,15.0
120.0,22,5,15.0
50.0,17,6,51.0
50.0,9,6,15.0
11.0,15,6,15.0
7.2,11,6,256.0
15.0,7,6,59.0
50.0,17,6,15.0
15.0,23,5,147.0
120.0,11,6,15.0
50.0,4,6,27.0
50.0,15,6,15.0
60.0,13,6,40.0
30.0,5,6,15.0
50.0,1,6,15.0
7.2,14,6,360.0
15.0,4,6,15.0
7.2,7,6,22.0
11.0,13,6,15.0
50.0,2,6,22.0
50.0,8,6,24.0
22.0,6,6,130.0
120.0,13,6,19.0
50.0,5,6,43.0
50.0,6,6,50.0
60.0,13,6,15.0
50.0,3,6,15.0
50.0,14,6,38.0
50.0,4,6,63.0
50.0,11,6,15.0
150.0,13,6,15.0
7.2,15,6,22.0
22.0,4,6,15.0
60.0,5,6,15.0
50.0,6,6,15.0
50.0,11,6,39.0
150.0,12,6,17.0
60.0,2,6,26.0
7.2,7,6,17.0
11.0,12,6,15.0
7.2,5,6,334.0
15.0,2,6,96.0
50.0,12,6,15.0
50.0,13,6,15.0
22.0,13,6,15.0
30.0,8,6,15.0
150.0,12,6,15.0
60.0,15,6,15.0
50.0,14,6,30.0
50.0,19,5,15.0
50.0,3,6,63.0
22.0,5,6,118.0
7.2,3,6,20.0
50.0,15,6,21.0
50.0,15,6,15.0
50.0,17,6,15.0
50.0,3,6,15.0
50.0,3,6,51.0
50.0,14,6,50.0
11.0,11,6,15.0
60.0,19,5,25.0
30.0,13,6,32.0
22.0,15,6,137.0
150.0,10,6,15.0
7.2,18,6,243.0
7.2,7,6,207.0
11.0,12,6,15.0
11.0,14,6,15.0
50.0,10,6,15.0
60.0,6,6,29.0
50.0,6,6,36.0
60.0,8,6,25.0
15.0,3,6,98.0
50.0,12,6,33.0
50.0,9,6,15.0
50.0,14,6,31.0
120.0,5,6,15.0
30.0,13,6,109.0
30.0,11,6,117.0
120.0,5,6,15.0
22.0,19,5,69.0
120.0,6,6,15.0
120.0,6,6,15.0
150.0,14,6,15.0
7.2,1,6,18.0
15.0,13,6,15.0
50.0,14,6,43.0
60.0,15,6,15.0
50.0,22,6,19.0
11.0,4,0,310.0
7.2,20,6,26.0
15.0,6,0,143.0
50.0,1,0,58.0
50.0,20,6,15.0
30.0,19,6,53.0
120.0,13,0,15.0
22.0,22,6,15.0
50.0,17,0,15.0
50.0,16,0,15.0
120.0,3,0,15.0
30.0,3,0,69.0
22.0,6,0,40.0
120.0,14,0,15.0
50.0,16,0,15.0
50.0,21,6,15.0
50.0,21,6,53.0
50.0,5,0,35.0
50.0,13,0,23.0
150.0,4,0,15.0
50.0,0,0,53.0
120.0,13,0,15.0
50.0,7,0,15.0
50.0,11,0,15.0
50.0,6,0,67.0
50.0,13,0,15.0
50.0,4,0,53.0
15.0,14,0,15.0
60.0,4,0,15.0
120.0,13,0,25.0
30.0,15,0,15.0
120.0,9,0,21.0
50.0,11,0,27.0
150.0,11,0,15.0
22.0,14,0,15.0
50.0,13,0,15.0
30.0,8,0,41.0
30.0,3,0,15.0
120.0,0,0,15.0
60.0,10,0,43.0
50.0,12,0,15.0
60.0,13,0,15.0
50.0,20,6,15.0
22.0,2,0,15.0
11.0,3,0,15.0
11.0,16,0,157.0
50.0,13,0,56.0
50.0,7,0,15.0
30.0,16,0,77.0
120.0,15,0,15.0
11.0,22,6,145.0
150.0,4,0,15.0
120.0,8,0,15.0
22.0,18,6,65.0
22.0,14,0,76.0
22.0,23,6,15.0
15.0,5,0,15.0
120.0,11,0,15.0
11.0,12,0,15.0
60.0,6,0,25.0
11.0,17,0,15.0
50.0,16,0,43.0
22.0,8,0,119.0
50.0,11,0,15.0
22.0,2,0,15.0
150.0,21,6,15.0
60.0,2,0,28.0
50.0,17,0,15.0
150.0,12,0,15.0
30.0,6,0,15.0
120.0,13,0,15.0
60.0,14,0,15.0
50.0,5,0,36.0
50.0,5,0,61.0
30.0,4,0,83.0
60.0,14,0,15.0
50.0,19,6,15.0
50.0,14,0,15.0
15.0,14,0,160.0
50.0,13,0,15.0
22.0,14,0,82.0
50.0,5,0,52.0
120.0,2,0,16.0
60.0,9,0,15.0
30.0,14,0,15.0
11.0,15,0,191.0
60.0,4,0,15.0
50.0,15,0,35.0
30.0,19,6,15.0
50.0,14,0,29.0
50.0,14,0,44.0
150.0,4,0,15.0
50.0,12,0,47.0
15.0,3,0,114.0
50.0,15,0,15.0
150.0,18,0,15.0
50.0,14,0,15.0
22.0,6,0,15.0
7.2,12,0,15.0
11.0,5,1,162.0
11.0,20,0,15.0
60.0,18,0,15.0
22.0,14,1,53.0
11.0,3,1,15.0
50.0,4,1,30.0
120.0,13,1,15.0
30.0,4,1,57.0
7.2,12,1,360.0
50.0,3,1,47.0
7.2,19,0,244.0
50.0,19,0,57.0
11.0,5,1,147.0
50.0,16,1,15.0
50.0,12,1,15.0
120.0,3,1,22.0
15.0,20,0,15.0
50.0,11,1,45.0
50.0,13,1,38.0
120.0,5,1,17.0
50.0,3,1,15.0
30.0,7,1,90.0
150.0,15,1,15.0
60.0,7,1,26.0
22.0,21,0,15.0
30.0,5,1,80.0
15.0,18,0,103.0
7.2,5,1,237.0
22.0,12,1,15.0
50.0,11,1,33.0
60.0,3,1,27.0
50.0,17,1,15.0
50.0,4,1,18.0
50.0,14,1,15.0
50.0,19,0,40.0
30.0,17,1,34.0
50.0,11,1,37.0
11.0,0,1,15.0
50.0,6,1,45.0
50.0,15,1,59.0
15.0,12,1,190.0
50.0,21,0,20.0
11.0,11,1,15.0
50.0,21,0,40.0
30.0,10,1,50.0
120.0,12,1,15.0
50.0,4,1,15.0
120.0,2,1,15.0
50.0,15,1,15.0
50.0,19,0,15.0
30.0,13,1,67.0
22.0,12,1,15.0
60.0,18,1,34.0
50.0,5,1,15.0
7.2,3,1,211.0
50.0,7,1,15.0
50.0,15,1,45.0
7.2,14,1,305.0
50.0,15,1,49.0
50.0,14,1,27.0
30.0,14,1,15.0
30.0,18,1,15.0
50.0,19,0,15.0
50.0,4,1,31.0
30.0,19,0,15.0
30.0,11,1,52.0
7.2,4,1,15.0
7.2,13,1,360.0
50.0,16,1,15.0
60.0,13,1,15.0
120.0,3,1,15.0
120.0,15,1,18.0
11.0,4,1,142.0
30.0,1,1,65.0
50.0,12,1,52.0
60.0,4,1,41.0
50.0,7,1,15.0
50.0,4,1,47.0
50.0,0,1,30.0
150.0,13,1,15.0
22.0,14,1,73.0
120.0,6,1,15.0
50.0,4,1,15.0
11.0,4,1,15.0
50.0,4,1,15.0
30.0,20,0,15.0
50.0,1,1,15.0
50.0,5,1,15.0
60.0,12,1,33.0
50.0,11,1,31.0
50.0,22,0,15.0
11.0,4,1,15.0
15.0,8,1,103.0
50.0,15,1,15.0
11.0,13,1,136.0
50.0,21,0,15.0
50.0,14,1,15.0
30.0,3,1,15.0
50.0,4,1,15.0
60.0,16,1,35.0
50.0,1,1,15.0
22.0,17,1,15.0
50.0,17,1,15.0
50.0,10,1,15.0
50.0,14,1,15.0
30.0,16,1,15.0
60.0,11,1,22.0
50.0,5,1,15.0
50.0,13,1,15.0
60.0,12,1,15.0
60.0,23,0,32.0
120.0,22,0,22.0
60.0,13,1,45.0
11.0,3,1,15.0
11.0,11,1,15.0
150.0,14,1,15.0
60.0,13,1,33.0
50.0,20,0,45.0
60.0,14,1,15.0
120.0,2,1,15.0
150.0,8,1,15.0
150.0,14,1,17.0
30.0,13,2,15.0
50.0,19,1,15.0
11.0,21,1,126.0
120.0,12,2,21.0
150.0,0,2,15.0
120.0,18,1,15.0
30.0,21,1,15.0
22.0,15,2,112.0
15.0,11,2,59.0
150.0,20,1,15.0
30.0,6,2,56.0
50.0,20,1,39.0
120.0,8,2,15.0
15.0,17,2,15.0
50.0,17,2,53.0
15.0,4,2,15.0
11.0,13,2,15.0
50.0,5,2,35.0
65.0,23,1,28.0
120.0,13,2,15.0
15.0,3,2,15.0
50.0,9,2,15.0
50.0,7,2,15.0
15.0,5,2,142.0
120.0,4,2,15.0
120.0,12,2,15.0
120.0,10,2,15.0
11.0,4,2,15.0
50.0,8,2,15.0
50.0,9,2,15.0
120.0,15,2,16.0
15.0,9,2,117.0
120.0,20,1,15.0
50.0,20,1,25.0
7.2,5,2,230.0
7.2,8,2,207.0
11.0,7,2,15.0
50.0,4,2,31.0
11.0,0,2,15.0
60.0,6,2,48.0
50.0,13,2,15.0
22.0,23,1,15.0
50.0,19,1,25.0
7.2,13,2,16.0
30.0,1,2,51.0
30.0,4,2,15.0
30.0,10,2,15.0
30.0,14,2,53.0
60.0,3,2,15.0
50.0,5,2,35.0
7.2,5,2,322.0
50.0,12,2,37.0
30.0,23,1,23.0
50.0,9,2,15.0
50.0,6,2,45.0
60.0,10,2,15.0
30.0,14,2,59.0
50.0,14,2,28.0
120.0,22,1,15.0
50.0,7,2,15.0
120.0,16,2,15.0
11.0,6,2,162.0
30.0,4,2,84.0
150.0,13,2,20.0
22.0,6,2,105.0
15.0,5,2,15.0
7.2,9,2,21.0
22.0,3,2,15.0
50.0,4,2,15.0
50.0,15,2,19.0
50.0,12,2,15.0
50.0,12,2,45.0
150.0,18,1,15.0
30.0,14,2,44.0
11.0,4,2,240.0
50.0,20,1,29.0
50.0,7,2,15.0
60.0,13,2,32.0
50.0,20,1,17.0
7.2,21,1,360.0
50.0,15,2,37.0
150.0,3,2,15.0
120.0,6,2,15.0
50.0,2,2,15.0
150.0,10,2,15.0
22.0,6,2,91.0
11.0,15,2,15.0
120.0,12,2,15.0
50.0,15,2,49.0
60.0,1,2,15.0
50.0,16,2,15.0
50.0,18,1,61.0
60.0,4,2,21.0
11.0,14,2,15.0
50.0,11,2,15.0
120.0,0,2,15.0
50.0,13,2,54.0
30.0,3,2,15.0
50.0,11,2,25.0
50.0,0,2,34.0
50.0,12,2,15.0
50.0,16,2,35.0
50.0,3,2,43.0
30.0,18,1,44.0
60.0,7,2,25.0
50.0,11,3,57.0
15.0,7,3,116.0
22.0,3,3,15.0
30.0,13,3,34.0
22.0,16,3,15.0
30.0,6,3,15.0
50.0,12,3,15.0
50.0,0,3,15.0
30.0,11,3,15.0
22.0,13,3,116.0
30.0,6,3,53.0
50.0,13,3,15.0
30.0,5,3,44.0
30.0,0,3,63.0
150.0,1,3,15.0
50.0,13,3,42.0
50.0,13,3,45.0
7.2,20,2,244.0
50.0,17,3,15.0
15.0,4,3,15.0
50.0,12,3,61.0
7.2,6,3,360.0
60.0,23,2,33.0
50.0,3,3,15.0
50.0,21,2,24.0
11.0,1,3,205.0
50.0,12,3,15.0
50.0,23,2,34.0
60.0,16,3,15.0
15.0,14,3,15.0
50.0,7,3,15.0
50.0,3,3,39.0
50.0,12,3,53.0
150.0,10,3,15.0
30.0,12,3,50.0
15.0,13,3,168.0
50.0,5,3,55.0
50.0,4,3,32.0
11.0,4,3,149.0
50.0,12,3,51.0
22.0,13,3,72.0
50.0,12,3,30.0
50.0,5,3,26.0
50.0,4,3,52.0
50.0,14,3,39.0
30.0,9,3,15.0
60.0,15,3,15.0
120.0,9,3,15.0
120.0,15,3,15.0
15.0,20,2,145.0
50.0,2,3,33.0
50.0,12,3,50.0
50.0,15,3,64.0
50.0,9,3,57.0
120.0,14,3,15.0
50.0,1,3,15.0
30.0,15,3,48.0
22.0,12,3,31.0
50.0,10,3,15.0
50.0,4,3,15.0
50.0,18,2,15.0
50.0,8,3,15.0
7.2,5,3,15.0
22.0,19,2,147.0
120.0,11,3,15.0
30.0,19,2,69.0
50.0,4,3,54.0
50.0,4,3,41.0
15.0,12,3,15.0
50.0,12,3,15.0
50.0,3,3,15.0
50.0,23,2,15.0
50.0,12,3,29.0
50.0,20,2,15.0
50.0,15,3,15.0
50.0,6,3,50.0
11.0,14,3,238.0
150.0,11,3,15.0
50.0,15,3,37.0
50.0,11,3,15.0
50.0,5,3,17.0
50.0,4,3,32.0
120.0,16,3,15.0
120.0,15,3,25.0
50.0,18,2,31.0
22.0,17,3,80.0
30.0,12,3,15.0
7.2,13,3,19.0
150.0,3,3,15.0
50.0,6,3,36.0
7.2,7,3,357.0
60.0,4,3,15.0
60.0,12,3,32.0
60.0,12,3,15.0
60.0,19,2,37.0
150.0,4,3,15.0
50.0,2,3,41.0
50.0,3,3,15.0
50.0,13,3,61.0
22.0,14,3,108.0
50.0,14,3,61.0
11.0,0,3,15.0
15.0,11,3,15.0
50.0,0,3,33.0
120.0,4,3,15.0
7.2,10,3,24.0
50.0,18,2,15.0
11.0,22,2,98.0
15.0,10,3,92.0
22.0,4,3,83.0
120.0,23,2,15.0
15.0,11,3,15.0
60.0,5,3,36.0
120.0,14,3,15.0
50.0,15,3,44.0
30.0,14,3,15.0
22.0,4,3,99.0
7.2,5,3,209.0
7.2,23,2,20.0
120.0,6,3,22.0
60.0,4,3,15.0
50.0,9,4,15.0
50.0,18,4,15.0
11.0,13,4,15.0
50.0,6,4,30.0
50.0,1,4,27.0
50.0,2,4,27.0
50.0,15,4,15.0
150.0,21,3,15.0
22.0,15,4,15.0
50.0,13,4,15.0
30.0,21,3,67.0
120.0,14,4,15.0
30.0,16,4,67.0
60.0,16,4,51.0
11.0,12,4,156.0
50.0,14,4,15.0
60.0,5,4,15.0
22.0,11,4,78.0
7.2,3,4,348.0
60.0,7,4,23.0
50.0,5,4,15.0
7.2,11,4,205.0
50.0,10,4,15.0
50.0,7,4,15.0
50.0,11,4,39.0
150.0,0,4,19.0
7.2,7,4,141.0
60.0,2,4,15.0
11.0,7,4,224.0
11.0,7,4,15.0
120.0,5,4,15.0
50.0,2,4,36.0
60.0,0,4,15.0
50.0,12,4,41.0
60.0,15,4,34.0
50.0,6,4,27.0
150.0,15,4,15.0
50.0,5,4,15.0
50.0,13,4,15.0
60.0,5,4,15.0
50.0,4,4,15.0
50.0,5,4,32.0
120.0,20,3,15.0
7.2,2,4,253.0
50.0,15,4,39.0
22.0,4,4,15.0
30.0,9,4,15.0
15.0,6,4,15.0
22.0,21,3,15.0
50.0,20,3,39.0
50.0,15,4,55.0
60.0,12,4,15.0
22.0,23,3,78.0
150.0,17,4,15.0
150.0,12,4,15.0
50.0,4,4,15.0
50.0,14,4,25.0
60.0,12,4,23.0
60.0,2,4,38.0
60.0,16,4,49.0
120.0,4,4,15.0
120.0,7,4,15.0
60.0,23,3,15.0
50.0,13,4,46.0
60.0,6,4,15.0
50.0,17,4,38.0
120.0,23,3,15.0
50.0,14,4,15.0
22.0,13,4,70.0
150.0,14,4,15.0
50.0,9,4,15.0
120.0,3,4,15.0
50.0,21,3,15.0
50.0,11,4,31.0
50.0,6,4,56.0
30.0,10,4,35.0
50.0,20,3,15.0
150.0,20,3,15.0
150.0,0,4,15.0
30.0,8,4,15.0
22.0,13,4,60.0
30.0,10,4,56.0
11.0,18,3,235.0
60.0,12,4,39.0
150.0,15,4,15.0
60.0,17,4,17.0
50.0,2,4,28.0
22.0,1,4,49.0
60.0,4,4,26.0
50.0,13,4,43.0
15.0,14,4,15.0
15.0,13,4,56.0
50.0,23,3,38.0
50.0,4,4,15.0
50.0,3,4,15.0
30.0,19,3,67.0
120.0,0,4,15.0
50.0,5,4,15.0
50.0,13,4,15.0
50.0,23,3,29.0
120.0,0,4,15.0
22.0,14,4,15.0
50.0,13,4,15.0
50.0,12,4,22.0
150.0,23,3,15.0
30.0,4,4,15.0
50.0,12,4,15.0
22.0,10,4,85.0
30.0,18,4,105.0
11.0,4,4,15.0
120.0,11,4,18.0
150.0,17,4,15.0
30.0,4,4,15.0
30.0,7,4,49.0
15.0,6,4,15.0
50.0,3,4,51.0
22.0,19,3,142.0
50.0,3,4,33.0
30.0,11,4,62.0
7.2,9,4,25.0
11.0,14,4,165.0
50.0,4,4,29.0
150.0,18,3,21.0
120.0,5,4,15.0
50.0,3,5,28.0
50.0,13,5,15.0
50.0,13,5,31.0
60.0,15,5,15.0
7.2,11,5,21.0
150.0,15,5,17.0
50.0,9,5,37.0
120.0,15,5,15.0
60.0,6,5,15.0
60.0,3,5,40.0
50.0,3,5,15.0
22.0,11,5,15.0
15.0,8,5,112.0
7.2,12,5,25.0
120.0,17,5,15.0
30.0,23,4,83.0
11.0,5,5,15.0
150.0,7,5,15.0
11.0,15,5,15.0
50.0,17,5,15.0
50.0,5,5,15.0
150.0,18,4,15.0
11.0,14,5,15.0
7.2,5,5,203.0
15.0,15,5,185.0
30.0,12,5,15.0
50.0,20,4,15.0
50.0,17,5,15.0
50.0,11,5,15.0
50.0,17,5,41.0
50.0,6,5,17.0
50.0,19,4,31.0
50.0,10,5,28.0
50.0,21,4,26.0
30.0,6,5,72.0
50.0,12,5,27.0
7.2,11,5,15.0
50.0,15,5,15.0
50.0,19,4,40.0
11.0,20,4,15.0
22.0,3,5,144.0
50.0,11,5,15.0
30.0,7,5,42.0
7.2,6,5,15.0
11.0,3,5,192.0
50.0,7,5,15.0
60.0,3,5,15.0
150.0,7,5,15.0
60.0,21,4,15.0
22.0,11,5,15.0
7.2,16,5,21.0
11.0,23,4,64.0
50.0,8,5,55.0
50.0,14,5,15.0
60.0,1,5,15.0
50.0,23,4,32.0
30.0,12,5,15.0
120.0,14,5,15.0
120.0,11,5,26.0
50.0,7,5,23.0
50.0,11,5,15.0
50.0,12,5,15.0
15.0,16,5,15.0
22.0,14,5,15.0
150.0,7,5,15.0
50.0,3,5,15.0
50.0,13,5,36.0
150.0,2,5,15.0
120.0,12,5,15.0
7.2,3,5,298.0
150.0,3,5,15.0
11.0,11,5,15.0
50.0,12,5,44.0
50.0,15,5,18.0
150.0,6,5,15.0
50.0,7,5,15.0
11.0,12,5,131.0
30.0,13,5,15.0
120.0,9,5,15.0
15.0,3,5,15.0
60.0,4,5,15.0
50.0,5,5,15.0
50.0,15,5,15.0
50.0,7,5,48.0
50.0,5,5,15.0
30.0,6,5,60.0
50.0,12,5,18.0
50.0,21,4,15.0
30.0,13,5,32.0
120.0,3,5,15.0
50.0,12,5,15.0
50.0,20,4,15.0
22.0,2,5,78.0
22.0,7,5,15.0
11.0,6,5,202.0
50.0,5,5,40.0
11.0,6,5,158.0
50.0,16,5,31.0
50.0,6,5,42.0
50.0,2,5,15.0
120.0,9,5,15.0
150.0,13,5,15.0
50.0,14,5,37.0
150.0,20,4,18.0
22.0,7,5,15.0
150.0,14,5,15.0
7.2,3,5,251.0
50.0,12,5,15.0
11.0,11,5,199.0
60.0,12,5,40.0
60.0,15,5,15.0
22.0,21,4,15.0
150.0,12,5,15.0
11.0,23,4,234.0
